freq,indic_il,unit,isced11,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MED_E,EUR,ED0-2,F,Y18-64,RO	: 	: 	: 	: 	1161 	1481 	1618 	1531 	1484 	1459 	1415 	1346 	1744 	1870 	1846 	2072 	2431 	2522 	2987 	3411 	3515 
A,MED_E,EUR,ED0-2,F,Y18-64,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1793 	1697 	1514 	1632 	1706 	1846 	2260 	2500 	2718 	3111 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,SE	: 	17004 	18060 	17311 	18336 	18610 b	18541 	17218 	18400 	21096 	21135 	22797 	22182 	20743 	21567 	21338 	19263 	20659 	18780 	20021 	19452 
A,MED_E,EUR,ED0-2,F,Y18-64,SI	: 	: 	7653 	8084 	8536 	9318 	10221 	9693 	10148 	10074 	9768 	9769 	9883 	10009 	10216 	10658 	11258 	11712 	12408 	13247 	14607 
A,MED_E,EUR,ED0-2,F,Y18-64,SK	: 	: 	2491 	2845 	3252 	4073 	4609 	4942 	5131 	5236 	5430 	5232 	5377 	5419 	5613 	5719 	5963 	6246 	5988 	5615 	6444 
A,MED_E,EUR,ED0-2,F,Y18-64,TR	: 	: 	: 	2492 	2801 	3039 	3147 	2857 	3423 	3327 	3522 	3253 	3137 	3429 	3544 	3230 	2796 	2837 	2450 	: 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,UK	: 	: 	14743 	15378 	16453 	14081 	13147 	13517 	13700 	14750 b	14748 	16725 	17798 	17443 	15371 b	16727 	: 	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1820 	: 	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1519 	1690 	1926 	2128 	2150 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,AT	13448 	14717 	15064 	14852 	15059 	15607 b	16852 	17019 	17643 	17879 	18834 	18707 	19044 	19617 	20476 	20775 	21740 	21344 	21792 	22092 	24011 
A,MED_E,EUR,ED0-2,F,Y_GE18,BE	12007 	12366 	12792 	13128 	13404 	13841 	14577 	14610 	14555 	14755 	15563 	15793 	15600 	15905 	16207 	16401 	17699 b	18073 	18693 	18890 	20454 
A,MED_E,EUR,ED0-2,F,Y_GE18,BG	: 	: 	: 	1022 	1023 	1456 	1797 	1966 	1791 	1815 	1869 	2194 	1974 	1909 b	2021 	2170 	2457 	2554 	3039 	2994 	4030 
A,MED_E,EUR,ED0-2,F,Y_GE18,CH	: 	: 	: 	: 	23134 	21322 	22056 	23921 	26231 	30069 	30985 	28935 b	29682 	33764 	33367 	30729 	30113 	31999 	33914 	33503 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,CY	: 	: 	10156 	10895 	11800 	12059 b	12234 	12306 	12423 	12397 	11972 	10610 	10171 	10327 	10686 	10861 	11426 	11971 	12106 	12611 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,CZ	: 	: 	3550 	3965 	4462 	4882 	5957 	5787 	6146 	6472 	6287 	6172 	5935 	6085 	6340 	6879 	7519 	7831 	8297 	8975 	10230 
A,MED_E,EUR,ED0-2,F,Y_GE18,DE	: 	: 	14849 	14345 	14452 	15256 	15469 	15393 	15445 	15737 	15764 	15449 	15903 	15743 	16456 	16820 	17712 	20808 b	19253 	19589 	20724 
A,MED_E,EUR,ED0-2,F,Y_GE18,DK	17691 	17987 	17792 	18537 	18713 	19371 	19962 	20305 	21490 b	21273 	21802 	22819 	22796 	22925 	23370 	23479 	23921 	24010 	24862 	25631 	26816 
A,MED_E,EUR,ED0-2,F,Y_GE18,EA	: 	: 	: 	: 	: 	13848 e	14112 e	14232 e	14040 e	14225 e	14106 e	13681 e	13754 e	13994 e	14451 e	14694 e	15049 	15928 b	15757 	: 	: 
