freq,indic_il,unit,isced11,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MED_E,PPS,ED3_4,M,Y_GE18,RO	: 	: 	: 	: 	3171 	3500 	3910 	3965 	4149 	4145 	4345 	4447 	4743 	5227 	5864 	6988 	8004 	8316 	9096 	10447 	11611 
A,MED_E,PPS,ED3_4,M,Y_GE18,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4884 	4745 	4866 	5106 	5367 	5374 	6168 	6712 	7033 	7636 	: 
A,MED_E,PPS,ED3_4,M,Y_GE18,SE	: 	14828 	15221 	16009 	16871 	18474 b	19077 	18588 	19002 	19856 	21078 	20679 	21379 	22609 	21784 	21794 	22391 	21875 	22369 	22331 	23853 
A,MED_E,PPS,ED3_4,M,Y_GE18,SI	: 	: 	12290 	12754 	13260 	14024 	14648 	13442 	14043 	14254 	14031 	14034 	14756 	14905 	14893 	15279 	16247 	16578 	16832 	17911 	19677 
A,MED_E,PPS,ED3_4,M,Y_GE18,SK	: 	: 	4165 	4794 	5850 	7015 	8005 	8563 	9142 	10050 	9908 	10036 	10502 	10837 	9871 	10348 	11040 	10458 	9825 	10146 	11109 
A,MED_E,PPS,ED3_4,M,Y_GE18,TR	: 	: 	: 	5035 	5424 	5730 	6119 	5897 	6274 	6831 	6788 	6958 	7045 	7925 	7986 	7792 	8008 	7880 	7211 	: 	: 
A,MED_E,PPS,ED3_4,M,Y_GE18,UK	: 	: 	18494 	19198 	20114 	19540 	17829 	16953 	16477 	17050 b	17676 	18190 	18653 	18475 	18028 b	19124 	: 	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,M,Y_GE18,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4076 	: 	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4160 	4325 	4671 	4784 	4761 	: 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,AT	15989 	17111 	18347 	18006 	18348 	18758 b	18897 	19755 	21370 	21552 	21870 	21888 	22294 	22993 	23481 	23140 	23834 	23348 	24309 	24448 	27153 
A,MED_E,PPS,ED3_4,M,Y_GE65,BE	12541 	12024 	12949 	13199 	13489 	15041 	15389 	14981 	15656 	15480 	17961 	17601 	17847 	18111 	17826 	17543 	19065 b	17870 	18353 	19064 	19987 
A,MED_E,PPS,ED3_4,M,Y_GE65,BG	: 	: 	: 	2959 	2994 	4050 	4517 	5528 	5488 	5130 	5341 	6805 	6517 	6380 b	6604 	6695 	6923 	6892 	7893 	8544 	10093 
A,MED_E,PPS,ED3_4,M,Y_GE65,CH	: 	: 	: 	: 	19058 	19779 	19080 	19198 	20095 	20584 	22157 	23111 b	23998 	24582 	23400 	23168 	22999 	22609 	22043 	22626 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,CY	: 	: 	15094 	15220 	17355 	19237 b	18166 	19585 	19661 	20418 	18382 	18072 	18822 	19992 	19568 	19912 	20373 	19380 	19091 	18827 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,CZ	: 	: 	6823 	7274 	7686 	8166 	8490 	8383 	8709 	9235 	9873 	9991 	10156 	10637 	10576 	10772 	11202 	11404 	11922 	12508 	13565 
A,MED_E,PPS,ED3_4,M,Y_GE65,DE	: 	: 	15266 	14800 	15000 	15435 	15664 	15692 	16263 	16860 	17174 	16983 	17460 	17471 	17876 	18039 	18743 	20194 b	20091 	19429 	19943 
A,MED_E,PPS,ED3_4,M,Y_GE65,DK	12882 	12472 	12579 	12522 	13136 	13570 	14105 	14098 	15361 b	15303 	16032 	16321 	16343 	17011 	16992 	17437 	17866 	17824 	18508 	18638 	18431 
A,MED_E,PPS,ED3_4,M,Y_GE65,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18978 	19402 	19840 b	19993 	: 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19085 	19502 	19948 b	: 	: 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18978 	19402 	19840 b	19993 	: 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18138 	18575 	18961 	18874 	18844 	19239 	19678 	19819 	19812 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,EE	: 	3561 	3842 	4395 	4799 	5532 	6231 	6420 	6385 	6463 	6820 	7107 b	7840 	8418 	8728 	8890 	9950 	9805 	10225 	10491 	9976 
A,MED_E,PPS,ED3_4,M,Y_GE65,EL	12585 	13523 	13937 	14278 	14075 	14891 	14928 	14498 	11869 	11815 	10518 	10464 	11120 	11786 	11091 	10675 	11169 	11885 	11955 	12014 	12579 
A,MED_E,PPS,ED3_4,M,Y_GE65,ES	: 	14401 	13168 	13171 	15710 	18822 b	19911 	18292 	19854 	18972 	17772 	18964 	19157 	19797 	19280 	19104 	20400 	19834 	20894 	21345 	23399 
A,MED_E,PPS,ED3_4,M,Y_GE65,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16756 	17123 e	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16838 	17209 e	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16682 e	17080 e	17308 b	17586 	17952 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16756 	17123 e	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,FI	: 	11804 	12346 	12785 	13339 	13770 	14520 	15828 	15754 	16678 	16577 	16947 	17301 	18031 	18134 	18278 	18015 	17796 	17927 	17995 	18863 
A,MED_E,PPS,ED3_4,M,Y_GE65,FR	: 	17027 	16870 	16580 	17042 	20799 	20828 	21458 	21670 b	21710 	23024 	21509 	22220 	23186 	22676 	22312 	21588 	20353 b	20227 	20303 b	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,HR	: 	: 	: 	: 	: 	: 	: 	6902 	7630 	7509 	7764 	7862 	8088 	8656 	8656 	9046 	9189 	9434 	9442 	10066 	10551 b
A,MED_E,PPS,ED3_4,M,Y_GE65,HU	: 	: 	6427 	6520 	6827 	7149 	7315 	7216 	7539 	7882 	8143 	8280 	8558 	8831 	8860 	8798 	8932 	8854 	9299 	10184 	9719 
A,MED_E,PPS,ED3_4,M,Y_GE65,IE	14836 	14396 	16361 	15851 	17784 	18648 	20478 	21151 	19418 	18750 	18840 	20071 	20888 	21271 	19798 	21239 	19459 	18504 b	19433 	19337 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,IS	: 	14559 	14362 	15937 	16850 	19384 	21198 	18730 	17484 	17074 	18331 	19152 	19485 	21000 	20923 	22596 	23104 	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,IT	: 	16401 	17091 	17773 	18144 	19358 	19688 	19752 	20249 	20242 	20467 	20528 	21076 	21956 	21565 	21398 	21813 	23614 	23648 	24201 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,LT	: 	: 	3865 	4225 	4843 	6246 	6959 	6738 	6323 	6482 	6874 	6768 	7002 	7756 	8129 	8221 	8884 	9495 	10175 	10253 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,LU	25950 	25799 	28279 	26899 	28330 	28075 	28747 	28105 	30908 	31575 	32282 	33149 	31847 	34490 b	32412 	34070 	35741 	35528 b	38303 b	36633 b	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,LV	: 	: 	3388 	3589 	4541 	5110 	5437 	5440 	6051 	5878 	6106 	6775 	6410 	6959 	6958 	7207 	7402 	8166 	9098 	10206 	9687 
A,MED_E,PPS,ED3_4,M,Y_GE65,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6881 	6465 	6670 	7122 	7475 	8800 	8049 	8153 	7182 	8554 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	5179 	5387 	5721 	6384 	6835 	6918 	6704 	6837 	7436 	: 	: 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,MT	: 	: 	11028 u	10711 	10654 u	11357 	12783 	12309 	13011 	17123 	17129 	16918 	18272 	18856 	18522 	16872 	17112 	19107 	17833 	18740 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,NL	: 	: 	15462 	15665 	16161 	18041 	17404 	16973 	17386 	17850 	18844 	17734 	18129 	18391 b	18219 	18619 	18806 	18664 	19633 	20054 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,NO	15889 	16479 	16975 	16884 	19366 	21528 	22369 	21629 	23017 	24208 	26270 	26749 	27884 	27164 	25112 	25711 	25590 	26275 	25264 b	25322 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,PL	: 	: 	6303 	6472 	6891 	7693 	8119 	8420 	9121 	9713 	10282 	10627 	11068 	11840 	11504 	11515 	11990 	12609 	12945 	14091 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,PT	: 	11934 u	13252 u	18978 u	19629 u	18200 u	19122 	18619 	17962 	19462 	19746 	21479 	20431 	22822 	20896 	19616 	21881 	20346 	20519 	19193 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,RO	: 	: 	: 	: 	3244 	3721 	4468 	4842 	5059 	5251 	5333 	5449 	5729 	6121 	6451 	7180 	7789 	7978 	8847 	11501 	11644 
A,MED_E,PPS,ED3_4,M,Y_GE65,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5837 	5609 	5948 	6128 	6019 	5850 	6303 	6602 	6789 	7295 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,SE	: 	13850 	14649 	16258 	16090 	16217 b	16822 	16594 	16555 	17676 	19211 	18822 	18447 	19363 	19317 	19787 	20087 	19002 	19828 	19348 	21384 
A,MED_E,PPS,ED3_4,M,Y_GE65,SI	: 	: 	12074 	11904 	12381 	12670 	13242 	12557 	12955 	13118 	13032 	13294 	13898 	14004 	13770 	13711 	14181 	14565 	14979 	15339 	16608 
A,MED_E,PPS,ED3_4,M,Y_GE65,SK	: 	: 	3795 	4291 	4911 	5834 	6939 	7417 	8057 	8476 	8941 	9251 	9769 	10028 	8882 	9244 	9347 	8907 	8897 	9268 	10670 
A,MED_E,PPS,ED3_4,M,Y_GE65,TR	: 	: 	: 	7291 u	6949 	7429 	7804 	7720 	8802 	8666 	8796 	9588 	8806 	10081 	9675 	9784 	10335 	11516 	9813 	: 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,UK	: 	: 	14698 	15720 	16304 	16117 	15650 	14661 	14696 	15823 b	15940 	16722 	17532 	17089 	16648 b	17872 	: 	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,M,Y_GE65,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4754 	: 	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4107 	4496 	4831 	4896 	4677 	: 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,AT	16179 	17532 	18298 	18622 	19014 	20244 b	20778 	21008 	22004 	22217 	22474 	22584 	22962 	23851 	24301 	24294 	24664 	23983 	25070 	26008 	30093 
A,MED_E,PPS,ED3_4,T,Y18-64,BE	16348 	15448 	16176 	16788 	16910 	17567 	18265 	18162 	18564 	18971 	20377 	20170 	20166 	21474 	20850 	21755 	22270 b	22266 	22523 	23970 	25165 
A,MED_E,PPS,ED3_4,T,Y18-64,BG	: 	: 	: 	3628 	3801 	5749 	6575 	6515 	6641 	6276 	6608 	7460 	7773 	7433 b	8566 	8041 	9551 	9732 	10184 	10796 	12219 
A,MED_E,PPS,ED3_4,T,Y18-64,CH	: 	: 	: 	: 	22430 	22548 	23826 	23060 	23851 	24839 	26548 	26774 b	27189 	28556 	27407 	27489 	28497 	26494 	26329 	27143 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,CY	: 	: 	15616 	16976 	19020 	19110 b	19251 	18197 	19261 	19086 	16769 	15498 	14689 	15542 	16088 	16977 	18155 	17920 	17901 	18945 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,CZ	: 	: 	8230 	8820 	9544 	10318 	10806 	10250 	10496 	10722 	11245 	11488 	12180 	13248 	13382 	14052 	14838 	15014 	14514 	16335 	17150 
A,MED_E,PPS,ED3_4,T,Y18-64,DE	: 	: 	16510 	16820 	17600 	18332 	18308 	17977 	18836 	19567 	19641 	19405 	20545 	21099 	21073 	21392 	22871 	24942 b	24139 	24008 	24892 
A,MED_E,PPS,ED3_4,T,Y18-64,DK	16651 	16038 	16923 	17324 	18194 	18695 	18870 	19096 	19804 b	20077 	20356 	20416 	21025 	21968 	21554 	22357 	22619 	22662 	23883 	24143 	23130 
A,MED_E,PPS,ED3_4,T,Y18-64,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18944 	19568 	20209 b	20021 	: 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19030 	19652 	20291 b	: 	: 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18944 	19568 	20209 b	20021 	: 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17318 	17774 	18659 	18634 	18799 	19423 	20059 	19815 	20398 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,EE	: 	4337 	4972 	5991 	6880 	7844 	8272 	7353 	7502 	7867 	8720 	9298 b	10736 	12119 	12439 	13440 	14346 	14455 	14751 	17329 	15433 
A,MED_E,PPS,ED3_4,T,Y18-64,EL	11525 	11534 	11658 	11873 	12133 	12812 	12960 	12813 	11664 	9308 	8622 	8258 	8545 	8703 	8708 	9006 	9605 	9947 	9768 	10619 	11155 
A,MED_E,PPS,ED3_4,T,Y18-64,ES	: 	12941 	13168 	13842 	14286 	16784 b	16946 	16162 	15659 	14928 	14917 	14700 	14893 	15891 	15885 	16136 	16127 	16434 	15913 	16748 	18316 
A,MED_E,PPS,ED3_4,T,Y18-64,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16933 	17597 e	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17012 	17674 e	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16874 e	17559 e	18108 b	18041 	18744 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16933 	17597 e	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,FI	: 	13266 	14086 	14804 	15296 	16731 	17617 	17141 	17772 	18224 	18910 	18920 	19071 	19587 	19752 	20011 	20412 	20133 	20004 	20767 	21637 
A,MED_E,PPS,ED3_4,T,Y18-64,FR	: 	14288 	15109 	15372 	15453 	17789 	17952 	17952 	17925 b	18368 	18698 	18542 	18993 	19963 	19814 	19579 	19684 	18963 b	19407 	20039 b	: 
A,MED_E,PPS,ED3_4,T,Y18-64,HR	: 	: 	: 	: 	: 	: 	: 	8340 	7776 	7755 	7888 	8215 	8722 	9397 	9841 	10369 	11118 	11482 	11862 	12959 	14070 b
A,MED_E,PPS,ED3_4,T,Y18-64,HU	: 	: 	5786 	6433 	6721 	6756 	7001 	6872 	7362 	7813 	7329 	7544 	7866 	8314 	8648 	8834 	9717 	10213 	10360 	10340 	11576 
A,MED_E,PPS,ED3_4,T,Y18-64,IE	15600 	15841 	16649 	17970 	19469 	19087 	18631 	17270 	16423 	16472 	15977 	15603 	16558 	17469 	17609 	19033 	18806 	18968 b	19692 	20158 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,IS	: 	16979 	17939 	19428 	20917 	22397 	21828 	18627 	18434 	18814 	20517 	20895 	21694 	22898 	23026 	24593 	24682 	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,IT	: 	15352 	15842 	15981 	16684 	17495 	17610 	17392 	17595 	17264 	16557 	16386 	16520 	17883 	18097 	18103 	18157 	18782 	18079 	19383 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,LT	: 	: 	3835 	4673 	5826 	6951 	7234 	5789 	5709 	6653 	7170 	7461 	8182 	9243 	9606 	10569 	11296 	12101 	13199 	13598 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,LU	26535 	27453 	29329 	27687 	27893 	27603 	27887 	28049 	27343 	27761 	30018 	29137 	30248 	29055 b	30256 	27916 	28188 	27546 b	30544 b	30741 b	: 
A,MED_E,PPS,ED3_4,T,Y18-64,LV	: 	: 	4147 	4791 	6021 	7724 	7656 	6046 	5985 	6160 	6577 	7606 	8254 	9348 	9385 	10034 	10802 	11090 	11654 	12512 	12732 
A,MED_E,PPS,ED3_4,T,Y18-64,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5508 	5421 	5600 	6061 	6535 	6910 	6931 	6938 	6401 	7391 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	4318 	4437 	4447 	4886 	5426 	5876 	5963 	6142 	6579 	: 	: 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,MT	: 	: 	15435 	15482 	15426 	16780 	17459 	16272 	17131 	17299 	18335 	18668 	19596 	19824 	20475 	20395 	21207 	21112 	21968 	23397 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,NL	: 	: 	16745 	17144 	18119 	19585 	19718 	19231 	18862 	19068 	18987 	18569 	19211 	21173 b	21106 	21304 	21686 	22349 	24832 	25420 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,NO	18769 	19099 	19541 	21752 	21918 	24217 	25286 	24461 	25332 	26250 	28019 	28460 	29477 	28782 	27648 	27369 	28140 	29144 	27356 b	28423 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,PL	: 	: 	4746 	5020 	5539 	6727 	7337 	7521 	8200 	8458 	8941 	9186 	9546 	10290 	10661 	11070 	11880 	12696 	13206 	14348 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,PT	: 	11309 	11500 	11808 	12594 	12072 	11872 	12068 	11728 	11609 	11504 	11621 	11773 	12200 	11631 	11538 	12263 	12978 	12588 	12388 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,RO	: 	: 	: 	: 	3232 	3524 	3947 	3966 	3996 	4037 	4231 	4294 	4602 	5108 	5687 	6920 	7936 	8440 	9343 	10321 	11490 
A,MED_E,PPS,ED3_4,T,Y18-64,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4806 	4661 	4664 	4938 	5131 	5221 	6086 	6687 	6969 	7642 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,SE	: 	14721 	15143 	15818 	16836 	18569 b	19212 	18623 	19181 	20203 	21154 	20883 	21784 	23069 	22273 	22327 	22609 	22353 	22654 	22615 	24175 
A,MED_E,PPS,ED3_4,T,Y18-64,SI	: 	: 	12245 	12809 	13199 	14035 	14644 	13441 	14037 	14168 	14030 	13905 	14679 	14875 	14901 	15409 	16446 	16926 	17266 	18501 	20180 
A,MED_E,PPS,ED3_4,T,Y18-64,SK	: 	: 	4203 	4817 	5899 	7085 	8111 	8712 	9270 	10169 	9908 	10135 	10612 	10888 	9968 	10446 	11177 	10692 	9952 	10218 	11057 
A,MED_E,PPS,ED3_4,T,Y18-64,TR	: 	: 	: 	5204 	5566 	5949 	6270 	6137 	6503 	7029 	6906 	7088 	7264 	8057 	8080 	7828 	8047 	7790 	7076 	: 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,UK	: 	: 	18567 	19136 	20054 	19398 	17526 	16489 	15998 	16536 b	17049 	17472 	18054 	17640 	17621 b	18128 	: 	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,T,Y18-64,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4051 	: 	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4126 	4496 	4815 	4890 	4709 	: 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,AT	16148 	17452 	18242 	18500 	18904 	19877 b	20435 	20805 	21804 	21955 	22254 	22449 	22797 	23711 	24113 	24022 	24397 	23804 	24778 	25577 	29354 
A,MED_E,PPS,ED3_4,T,Y_GE18,BE	15766 	15121 	15741 	16328 	16475 	17060 	17890 	17563 	18189 	18477 	19865 	19392 	19585 	20888 	19961 	20882 	21539 b	21328 	21636 	22895 	23588 
A,MED_E,PPS,ED3_4,T,Y_GE18,BG	: 	: 	: 	3534 	3664 	5519 	6313 	6370 	6436 	6053 	6380 	7255 	7440 	7112 b	8001 	7583 	8864 	8999 	9471 	9873 	11383 
A,MED_E,PPS,ED3_4,T,Y_GE18,CH	: 	: 	: 	: 	21921 	21999 	22950 	22540 	22800 	23955 	25415 	25941 b	26567 	27574 	26478 	26417 	26931 	25211 	24902 	26010 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,CY	: 	: 	15567 	16947 	18918 	19098 b	19231 	18197 	19261 	19098 	16866 	15552 	14929 	15725 	16364 	17155 	18396 	18036 	18003 	18945 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,CZ	: 	: 	7873 	8433 	9043 	9888 	10261 	9744 	10045 	10288 	10736 	10971 	11527 	12319 	12474 	12932 	13679 	13840 	13446 	14953 	15814 
A,MED_E,PPS,ED3_4,T,Y_GE18,DE	: 	: 	16231 	16333 	17041 	17717 	17707 	17405 	18269 	18904 	19085 	18756 	19714 	20203 	20188 	20536 	21607 	23486 b	22969 	22787 	23465 
A,MED_E,PPS,ED3_4,T,Y_GE18,DK	16298 	15542 	16408 	16762 	17502 	17969 	18249 	18105 	18830 b	18934 	19162 	19395 	19762 	20306 	20244 	21087 	21027 	21112 	22019 	22028 	21376 
A,MED_E,PPS,ED3_4,T,Y_GE18,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18869 	19396 	19985 b	19893 	: 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18968 	19489 	20078 b	: 	: 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18869 	19396 	19985 b	19893 	: 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17377 	17808 	18617 	18573 	18730 	19254 	19838 	19695 	20167 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,EE	: 	4160 	4730 	5697 	6435 	7357 	7801 	6971 	7005 	7332 	8104 	8603 b	9901 	11187 	11392 	12338 	13181 	13409 	13554 	15039 	13717 
A,MED_E,PPS,ED3_4,T,Y_GE18,EL	11639 	11668 	11851 	12011 	12293 	12923 	13088 	12947 	11717 	9743 	9028 	8674 	8829 	9082 	9047 	9311 	9849 	10328 	10130 	10958 	11513 
A,MED_E,PPS,ED3_4,T,Y_GE18,ES	: 	13000 	13168 	13806 	14334 	16839 b	17039 	16255 	15817 	15228 	15368 	15122 	15272 	16215 	16237 	16390 	16490 	16724 	16476 	17328 	18993 
A,MED_E,PPS,ED3_4,T,Y_GE18,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16795 	17353 e	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16872 	17428 e	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16732 e	17309 e	17783 b	17794 	18415 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16795 	17353 e	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,FI	: 	13017 	13843 	14482 	14860 	16233 	17090 	16772 	17389 	17827 	18457 	18254 	18460 	18960 	19208 	19341 	19527 	19255 	19329 	19682 	20629 
A,MED_E,PPS,ED3_4,T,Y_GE18,FR	: 	14502 	15224 	15445 	15566 	17964 	18188 	18198 	18257 b	18713 	19099 	19071 	19515 	20434 	20295 	20102 	20197 	19368 b	19617 	20139 b	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,HR	: 	: 	: 	: 	: 	: 	: 	8159 	7736 	7730 	7910 	8209 	8710 	9305 	9667 	10119 	10817 	11053 	11297 	12226 	13188 b
A,MED_E,PPS,ED3_4,T,Y_GE18,HU	: 	: 	5842 	6437 	6734 	6814 	7054 	6932 	7391 	7825 	7439 	7699 	7985 	8454 	8648 	8788 	9501 	9739 	10003 	10232 	10783 
A,MED_E,PPS,ED3_4,T,Y_GE18,IE	15323 	15747 	16529 	17832 	19394 	19087 	18631 	17369 	16423 	16633 	16128 	15821 	16724 	17585 	17744 	19203 	18846 	18903 b	19574 	19769 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,IS	: 	16439 	17404 	18665 	20089 	21780 	21713 	18480 	18174 	18441 	19985 	20644 	21307 	22609 	22527 	24304 	23976 	: 	: 	: 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,IT	: 	15468 	15921 	16108 	16780 	17661 	17802 	17589 	17894 	17586 	16854 	16787 	16978 	18351 	18535 	18525 	18614 	19315 	18841 	19991 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,LT	: 	: 	3816 	4555 	5673 	6849 	7111 	5821 	5771 	6568 	6997 	7188 	7666 	8718 	9048 	9662 	10556 	11287 	11995 	12236 	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,LU	26282 	27436 	29035 	27668 	27895 	27618 	27905 	28097 	27981 	28258 	30210 	29934 	30614 	29699 b	30580 	28643 	29664 	28709 b	31576 b	31762 b	: 
A,MED_E,PPS,ED3_4,T,Y_GE18,LV	: 	: 	4012 	4581 	5768 	7298 	7222 	5829 	5857 	5956 	6311 	7211 	7689 	8673 	8677 	9141 	9946 	10154 	10529 	11515 	11466 
A,MED_E,PPS,ED3_4,T,Y_GE18,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5689 	5520 	5747 	6198 	6699 	6989 	7086 	7128 	6556 	7472 	: 
